id,short_code,uuid,product,colorway,size,is_pre_produced,rfid
7048,V4tVzt6k,06b68979-50ad-4348-8094-7a5fe8dbf716,33,,L,0,
4916,De8aGgqh,06b88d26-addb-4b61-bbbf-8b452c6a2795,22,,L,0,
5791,QK1WdEUT,06b9bba2-bd95-4e36-9eaa-6176add84db3,66,,M,0,
6822,Y491B9zE,06d0f7a7-b8ae-4ad9-9d27-a9d2a3da3306,66,,XL,0,
11624,XKvAEyee,06d96297-ef7b-443c-88e8-d2e8f1f04e4d,72,,M,0,
12974,vwUubUzL,06da4c01-d3c2-4d43-b43f-4838bebda155,77,,XXS-XL,0,
233,,06db0d19-2133-4eed-b67f-ee9248d40ac9,4,,M,0,
5533,BBjWKonf,06dd32ff-d92d-4d14-ab09-340243b99fd8,66,,S,0,
10150,wXpU79YU,06e1b341-78e8-4ac3-86e2-f6deff842200,72,,M,0,
11684,9YTQTPt8,06e82891-4550-40b5-a5ff-2e89f74f7263,72,,M,0,
1037,,06fbfd46-80fe-4387-bbc7-3716f72f86cb,4,,M,0,
1216,,07017049-b55b-4b0a-b391-983815e5633a,4,,M,0,
10962,UtoqN45t,07052dc9-405e-4ba0-8578-de86e10c356b,72,,M,0,
4304,CnjdXGQe,070dfb33-cdd6-4feb-a367-0f6c95922e0b,38,,L,0,
5713,gTorTT2e,0710f109-7c75-417e-9e17-2db4996afa24,66,,M,0,
4832,HexzgauG,07155118-031d-436a-9e6d-1a25552877a3,22,,M,0,
13147,yrUijwuR,07202cf0-7209-42ae-b029-9614730e3ac7,84,,XS-XL,0,
3053,GybA3Qdx,0727257b-0253-4ec3-b2fb-33e930e422e6,45,,M,0,
1025,,0729168c-f7e9-4043-8f15-6703a1e43f1d,4,,M,0,
2181,u56d8WzP,072f55f4-2efe-4ef7-ab38-ec922914a74a,4,,M,0,
1617,6bwsGXYY,07315a05-6663-4de1-9672-2da04734abe3,4,,M,0,
430,,073340ee-bed1-4c4e-8618-2355cf07122b,4,,M,0,
3776,AA1iLr9n,073773ee-0569-4a6a-9252-92aced66a723,38,,M,0,
4969,mDYKPgi8,07407e8d-3169-47bc-a3be-4aa26fa53e42,22,,L,0,
3199,u1c1uBE3,0746fa0e-a3f5-43b1-b5fb-019d588dd86d,23,,One size,0,
12262,CyTgWCgJ,0748861d-d74b-4009-8acf-7d22d0b7ec6f,72,,M,0,
2853,cYZDGixZ,0749acd7-d25c-4370-9dda-4d418e017600,23,,One size,0,
6134,TspXD2Y4,07503cfe-ef39-4415-9be5-1c8e1d047c00,66,,XXL,0,
100,,0754a3f2-a8f9-4de1-914e-dd379ffad5ff,3,,s,0,
1313,,075a2f9b-f48f-49ba-8401-1eb3beaa9c80,4,,M,0,
4821,rYerWysH,075db3c9-8637-45c5-bf45-40efb43466cc,22,,M,0,
13500,xP1yZr6r,0760f119-2055-40e0-bfe7-a2cfef42b0c2,103,,36,0,
340,,07626062-4f4b-474a-a641-9c478fa80f77,4,,M,0,
13335,78qzVyuZ,07699c3e-3c2f-45d5-91d1-3bb7750c5e17,86,,S-L,0,
4087,DFGbrEyt,0769c3bd-f57c-4649-a589-6ea7dc2c42fd,38,,M,0,
3373,rsJhbjAb,076c8a1e-bee9-425b-9517-447e997f8a0d,23,,One size,0,
13224,HMCwhGn4,07745185-80dd-44f6-9cf2-bfdb17a74369,74,,XXS-XL,0,
1719,K2nKxkwp,07775f42-7a43-4331-8133-394b752a0fb0,4,,M,0,
10869,wfYiazVR,077c44ec-f3bf-43e5-b54c-ed6b9cfe85f8,101,102,L,0,
1624,U2YxZJzJ,078e0c39-a368-4b39-82c5-3df16c948922,4,,M,0,
2223,fa2SzWQQ,0795520e-2ec8-4bbf-b743-ef89bfaa7749,4,,M,0,
4160,6kPhmxRK,079b7bfe-315c-4030-a192-503a56be69f1,38,,M,0,
10688,ShiJ1pAU,079d71f6-2912-4dd9-9c2a-6c02d092eca7,72,,M,0,
13792,1zgknRdJ,07aaa276-f417-495b-b5b0-214a5db4cf28,103,,40,0,
1782,YsdqgoSz,07b0105a-055b-449d-85b5-1b23c8838719,4,,M,0,
10501,cmnVSY22,07b73a46-db52-44b9-99cc-eadf070a9200,72,,M,0,
2971,x5eTAMZG,07c10381-8814-4a0d-adad-5516625638ea,23,,One size,0,
9658,yzTLqJsS,07c1202c-618f-4c07-aa3e-8c3071ee17d4,72,,M,0,
11079,iv3LKuSi,07c28ffd-2120-4d1f-a8a5-657ccda1077b,72,,M,0,
1964,QqqD3bdY,07c4ea4e-7bf7-4e51-a809-9185655a1a2a,4,,M,0,
1253,,07c95a7d-f423-4ff6-925d-9c67afa0d163,4,,M,0,
4208,dzj85wpq,07cd4c2e-e83b-4355-b9a0-c4f74bf82574,38,,M,0,
4085,b114u2bS,07d49cb8-94f2-4b01-9dc6-1db670cd5eec,38,,M,0,
11141,focjQaKo,07db3fd2-8598-415a-9e3b-826390e0fd34,72,,M,0,
12470,ubyAnR9a,07e12be6-91c3-4d30-8055-568fb06abc20,72,,M,0,
10174,MWZEN7d2,07e1635b-9819-4089-becd-c9670d8b50a4,72,,M,0,
4707,LzeYXjMr,07e753e7-4c03-4027-87b3-4a02eb82b1d1,38,,L,0,
1945,vp4FZY0a,07ec34f7-febe-4614-a675-9eba69aedf54,4,,M,0,
10810,YbqWu8Ff,07f1f81b-5e5e-468a-ab83-9ac5238b37c2,72,,M,0,
5554,S5aZtnwW,07f2287a-8152-4e53-8dad-fff1af3e8ab9,66,,S,0,
11631,ptSAwckX,07f34023-884c-4f2c-9079-bd89d694297a,72,,M,0,
1321,t9NiMnNF,07f76b66-260e-47ef-8ba8-31b24e703a3b,4,,M,0,
12177,ZVRyQZ96,07f915ee-86fa-42b6-bf51-76b520c4144b,72,,M,0,
